trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",25,0,-97.9809187284079,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",30,2,-268.4066782125428,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 5}",1
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",30,8,-88.74379291534652,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 1}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",25,0,-117.587306261241,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",25,0,-80.40901656347836,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,0,-87.99881147370655,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-3.741740207044484,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,16,-9.983599297307775,"{0: 5, 1: 4, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,13,-8.268967219206253,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,0,-2.3645707606366493,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,-18.512030114132415,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",25,0,-107.52938027847276,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-66.85068106831277,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",25,0,-45.32679550211366,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,17,-50.91102086961423,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",20,0,-41.85146178283581,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,0,-40.70836905496531,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",30,15,-4.915449976074965,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,10,-14.54456581568912,"{0: 10, 1: 4, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-29.650728680978517,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",25,0,-104.70952714750344,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,0,-32.18552679522101,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,6,-36.656662119738854,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
